ID,KEY,VALUE
11,HealthCheck,-
11,Allow port firewall Server,-
11,Deploy App,
12,CI Name,SIA09-MLPR03
12,Primary Capability,VM
12,Group (ห้ามแก้),ระบบสำนักงาน-คลังข้อมูล
12,System (ห้ามแก้),Production
12,System Detail,Web Server ระบบงานหอสมุดคณะฯ
12,Server Type (ห้ามแก้),
12,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
12,SAP ID,-
12,รหัสครุภัณฑ์,-
12,Serial Number,VMWare
12,Organization,Siriraj
12,"Status
(Active / Inactive)",Active
12,Product Name,-
12,Model/Version,-
12,DC Room - Building,ตึกศรีสวรินทิรา
12,Floor,7
12,Rack Number,-
12,Unit,-
12,Is Virtual?,Y
12,VM Cluster Group,ESPR Cluster
12,"IP Address
(Primary)",10.7.102.153
12,"IP Address
(BAK)",-
12,"IP Address
(Management iDRAC, iLO)",-
12,Operating System,Ubuntu 16.04
12,Service Pack,-
12,Database Vsersion,-
12,Service patch,-
12,เลขที่สัญญา,-
12,Delivery Date,-
12,MA Status,-
12,MA Start Date,-
12,MA Expired Date,-
12,Vender,-
12,ประเภทการรับประกัน,-
12,Owner,วศิน ศีติสาร
12,Type of Asset,Hardware
12, ISO Scope,No
12,System Doc,-
12,HealthCheck,-
12,Allow port firewall Server,-
12,Deploy App,
13,CI Name,SIA09-MLPR04
13,Primary Capability,VM
13,Group (ห้ามแก้),ระบบสำนักงาน-คลังข้อมูล
13,System (ห้ามแก้),Production
13,System Detail,DB Server ระบบงานหอสมุดคณะฯ
13,Server Type (ห้ามแก้),
13,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
13,SAP ID,-
13,รหัสครุภัณฑ์,-
13,Serial Number,VMWare
13,Organization,Siriraj
13,"Status
(Active / Inactive)",Active
13,Product Name,-
13,Model/Version,-
13,DC Room - Building,ตึกศรีสวรินทิรา
13,Floor,7
13,Rack Number,-
13,Unit,-
13,Is Virtual?,Y
13,VM Cluster Group,ESPR Cluster
13,"IP Address
(Primary)",10.7.102.154
13,"IP Address
(BAK)",-
